English, Icelandic, Section, Book
clap,hvellur,page 114, Dúna
constrained,þvingaður,page 114, Dúna
function,vörpun,page 114, Dúna
flight time,flugþol,page 114, Dúna
shield,skjöldur,page 114, Dúna
profit,ágóðinn,page 114, Dúna
in working condition,starfhæfur,page 114, Dúna
droop,lygna,page 114, Dúna
fight,slagsmál,Svartidauði,Sjóræninginn
fool around,væflast,Svartidauði,Sjóræninginn
slam,skella,Svartidauði,Sjóræninginn
rush off,rjúka,Svartidauði,Sjóræninginn
directly,rakleiðis,Svartidauði,Sjóræninginn
lecture,röfla,Svartidauði,Sjóræninginn
towards,gagnvart,Svartidauði,Sjóræninginn
captivate,gagntaka,Svartidauði,Sjóræninginn
paintbrush,pensill,Svartidauði,Sjóræninginn
saint's legend,helgisaga,page 125,Dúna
dare,áræða,page 125,Dúna
ask,spyrja,page 125,Dúna
scale,skali,page 125,Dúna
telecommunications equipment,fjarskiptabúnað,page 125,Dúna
quickly,fljótheitum,page 125,Dúna
reverend,síra,page 125,Dúna
fire debris,snark,page 125,Dúna
start moving,stjá,Johnny Potten,Sjóræninginn
astride,klofvega,Johnny Potten,Sjóræninginn
sideburns,bartar,Johnny Potten,Sjóræninginn
refuse absolutely,þvertaka,Johnny Potten,Sjóræninginn
quarrel,þræta,Johnny Potten,Sjóræninginn
dark (and suspect) corner,skúmaskot,Johnny Potten,Sjóræninginn
slip,renna,Johnny Potten,Sjóræninginn
effort,fyrirhöfn,Johnny Potten,Sjóræninginn
gain,fengur,Johnny Potten,Sjóræninginn
area,flatarmál,Johnny Potten,Sjóræninginn
clip,myndskeið,page 131, Dúna
religion,trúarbrögð,page 131, Dúna
reference,vísun,page 131, Dúna
perception,skynjun,page 131, Dúna
awfully,ægilega,page 131, Dúna
atmosphere,yfirbragð,page 131, Dúna
unpleasant,ógeðfelldur,page 131, Dúna
intend,hyggjast,page 131, Dúna
forward,áleiðis,page 131, Dúna
potrait hallway,portrettganginn,page 135, Dúna
striking,áberandi,page 135, Dúna
grand,tignarlegur,page 135, Dúna
how,hve,page 135, Dúna
fit,falla,page 135, Dúna
unpretentious,látlausri,page 135, Dúna
lower,hnipra,page 135, Dúna
buzz,suða,page 135, Dúna
smirk,glotta,page 135, Dúna
magnificient quality,mikilfengleiki,page 161, Dúna
ephemeral,hverfull,page 161, Dúna
surround,umlykja,page 161, Dúna
ironic eyes,hæðnisaugum,page 161, Dúna
case,ver,page 161, Dúna
pretension,sýndarmennska,page 161, Dúna
characteristic,eiginleiki,page 161, Dúna
damnation,glötun,page 161, Dúna
gleam,glampa,page 161, Dúna
precious object,djásn,page 161, Dúna
miserable,vansæll,page 205, Dúna
misery,þjáning,page 205, Dúna
saturated with,þrunginn, page 205, Dúna
ills,illur,page 205, Dúna
sluggish,sljór,page 205, Dúna
faint,daufur,page 205, Dúna
tick,tifa,page 205, Dúna
very slowly,löturhægt,page 205, Dúna
rustle,skrjáfa,page 205, Dúna
gag,kefli,page 205, Dúna
stop dead,snarstansa,page 217, Dúna
lightning fast,eldsnöggur,page 217, Dúna
paralyzed,lamaður,page 217, Dúna
manner,fas,page 217, Dúna
immoveable,óbifanlega,page 217, Dúna
severity,harka,page 217, Dúna
set,láta,page 217, Dúna
calm and quiet,með kyrrum kjörum,page 217, Dúna
cluster,hvirfing,page 236, Dúna
canvas,strigi,page 236, Dúna
baggage,föggur,page 236, Dúna
deceitful,svikull,page 236, Dúna
stare,einblína,page 236, Dúna
transparent,gegnsær,page 236, Dúna
hide,fela,page 236, Dúna
resentful,beiskur,page 236, Dúna
deed,gjörð,page 236, Dúna
focus,skerpa,page 236, Dúna
out of one's mind,frávita,page 255, Dúna
blame somebody,áfelldist,page 255, Dúna
reassure,hughreysta,page 255, Dúna
law,lögmál,page 255, Dúna
weak-willed,veiklundaðan,page 255, Dúna
clairvoyant,ófreskur,page 255, Dúna
airtight,loftþéttur,page 255, Dúna
move,bæra,page 255, Dúna
rage,geisa,page 255, Dúna
dig,grafa,page 255, Dúna
apprehension,hugarangri,page 262, Dúna
climbable,kleifur,page 262, Dúna
plan,áform,page 262, Dúna
military town,setuliðsbæ,page 262, Dúna
news,fregn,page 262, Dúna
horde,legíó,page 262, Dúna
weary,aðframkominn,page 262, Dúna
threaten,ógna,page 262, Dúna
blow,högg,page 262, Dúna
gift,gáfa,page 275, Dúna
consider,íhuga,page 275, Dúna
possible,kleifur,page 275, Dúna
heath,heiði,page 275, Dúna
yet to arrive,ókominn,page 275, Dúna
wide,víður,page 275, Dúna
distance,tilsýndar,page 275, Dúna
confined,þröngur,page 275, Dúna
crater,gígur,page 275, Dúna
nest,hreiður,page 275, Dúna
scorn,fyrirlítur,page 290, Dúna
living quarters,vistavera,page 290, Dúna
envelope,umvafðar,page 290, Dúna
steel,stál,page 290, Dúna
cold and damp,hráslagalegir,page 290, Dúna
upholster,bólstraðir,page 290, Dúna
mindfulness,gjörhygli,page 304, Dúna
more exalted,æðri,page 304, Dúna
intertwine,samtvinnaðra,page 304, Dúna
perceive,skynja,page 304, Dúna
airwaves,loftbylgjur,page 304, Dúna
eddy,hringiða,page 304, Dúna
scattered,stangli,page 304, Dúna
dial,skífa,page 304, Dúna
lend,ljá,page 304, Dúna
banality,flatneskja,page 304, Dúna
obscure,torskilinn,page 330, Dúna
succinct,hnitmaðaðan,page 330, Dúna
count,greifi,page 330, Dúna
genetic eunuch,erfðageldingur,page 330, Dúna
most dangerous,skæðasti,page 330, Dúna
impressive,aðsópsmikill,page 330, Dúna
slave girl,ambátt,page 330, Dúna
mistress,hjákona,page 330, Dúna
pact,sáttmáli,page 330, Dúna
bear,ala,page 330, Dúna
clairvoyant gift,ófreskigáfa,page 351, Dúna
verify,sannreynd,page 351, Dúna
demarcate,marki,page 351, Duna
make,laga,page 351, Dúna
harmonics,hljómfræðina,page 351, Dúna
frailty,veikleika,page 351, Duna
decision,ákvörðun,page 351, Dúna
split,klofinn,page 351, Dúna
knife strike,hnífshögg,page 351, Duna
covet,girnast,page 365, Dúna
narrow,þröng,page 365, Duna
dawn,dagrenningar,page 365, Dúna
move quickly,bregða,page 365, Duna
clamber,klöngruðust,page 365, Dúna
tread,feta,page 365, Duna
ribbon,ræma,page 365, Dúna
extensive,víðtækur,page 365, Duna
fabric,vefnaði,page 365, Dúna
mantle,kufl,page 365, Duna
emphasize,árétta,page 375,Dúna
hardness,forherðing,page 375,Dúna
charm,sjarmi,page 375,Dúna
dynasty,ættarveldi,page 375,Dúna
niche,kimi,page 375,Dúna
legitimate,skilgetinn,page 375,Dúna
self-helper,gertækari,page 375, Dúna
pitch dark,niðamyrkri,page 375,Dúna
rustle,þrusk,page 375,Dúna
stinking,stæka,page 375,Dúna
create, skapa,page 391, Dúna
creak,marra,page 391, Dúna
bird chirp,fuglakvak,page 391, Dúna
mouth of the cave,hellismunnanum,page 391, Dúna
hint of itself,angi,page 391, Dúna
shortly,brátt,page 391, Dúna
what a sort of, hvílíkur,page 391, Dúna
immediately,umsvifalaust,page 391, Dúna
raise,hefja,page 391, Dúna
no ceasing, ekkert lát,page 391, Dúna
move oneself,bærast,page 441, Dúna
promise,fyrirheit,page 441, Dúna
island,eyland,page 441, Dúna
throw,varpa,page 441, Dúna
drowsily,drungalegri,page 441, Dúna
crowded,þéttskipaðan,page 441, Dúna
anteroom,gímald,page 441, Dúna
swollen,þrunginn,page 441, Dúna
humming,suð,page 441, Dúna
excuse,afsökun,page 441, Dúna
slave girls,ambáttir,page 461, Dúna
honor,vegtylla,page 461, Dúna
testimony,vitnisburður,page 461, Dúna
competent,fullfær,page 461, Dúna
clear,ryðja,page 461, Dúna
aggressiveness,offors,page 461, Dúna
dash,æða,page 461, Dúna
shine,skína,page 461, Dúna
intermittent,slitróttir,page 461, Dúna
dandle,hossa,page 461, Dúna
rational,rökfestu,page 471, Dúna
universe,alheimur,page 471, Dúna
always,ávallt,page 471, Dúna
upper-class men, háaðalsmennirnir,page 471, Dúna
disgust,viðbjóð,page 471, Dúna
bellow,rymja,page 471, Dúna
keen,hvass,page 471, Dúna
very fat,spikaður,page 471, Dúna
ruins,tóft,page 471, Dúna
rare,fágætur,page 471, Dúna
refinement,fágun,page 480, Dúna
grace,þokki,page 480, Dúna
rock ridge,klettahrygg,page 480, Dúna
entangle,flækja,page 480, Dúna
rhythm,hrynjandinni,page 480, Dúna
enforcement,fullnustu,page 480, Dúna
landmark,kennileiti,page 480, Dúna
extremely,ægilegum,page 480, Dúna
get tired,lýjast,page 480, Dúna
indissolubly,órjúfanlega,page 480, Dúna
court of law, dómstólunum,page 495, Dúna
rabble,skríll,page 495, Dúna
rules,drottna,page 495, Dúna
grain of truth,sannleikskorn,page 495, Dúna
sandrider test,sandreiðarprófið,page 495, Dúna
genocide,helför,page 495, Dúna
reach,seilingar,page 495, Dúna
stench,stækju,page 495, Dúna
big,megnri,page 495, Dúna
pungent,rammri,page 495, Dúna
smaller,smærri,page 516, Dúna
wonder,undur,page 516, Dúna
heighliner,alferju,page 516, Dúna
wasp queen,geitungadrottning,page 516, Dúna
float,sveimi,page 516, Dúna
subject,þegn,page 516, Dúna
petite,smágerður,page 516, Dúna
protrude,blasa,page 516, Dúna
readily,gjarnt,page 537, Dúna
vehemence,ofsi,page 537, Dúna
move about restlessly,iða,page 537, Dúna
chatter,skvaldrið,page 537, Dúna
nose,nef,page 537, Dúna
bobble,hnökri,page 537, Dúna
stick,stinga,page 537, Dúna
resent,gremjast,page 537, Dúna
bowels,iður,page 553, Dúna
substance,verund,page 553, Dúna
grant,veitir,page 553, Dúna
around 3 a.m., ótta,page 553, Dúna
disturbance,þytur,page 553, Dúna
first born,frumburðar,page 553, Dúna
pebble,steinvala,page 553, Dúna
slip,skrika,page 553, Dúna
obligingness,lipurð,page 553, Dúna
darling,heittelskaður,page 553, Dúna
cliff-edge,nöf,page 566, Dúna
works,gangverk,page 566, Dúna
pull,trekkja,page 566, Dúna
gap,skarð,page 566, Dúna
tip of the cliff edge,klettabrún,page 566, Dúna
scrutinize,rýna,page 566, Dúna
lens,augngler,page 566, Dúna
horizontal,láréttir,page 566, Dúna
porthole,kýraugun,page 566, Dúna
shrub,runni,page 577, Dúna
agency,tilstilli,page 577, Dúna
empire,keisaradæmisins,page 577, Dúna
present,viðstaddur,page 577, Dúna
resting position,hvíldarstöðu,page 577, Dúna
along,meðfram,page 577, Dúna
banner,gunnfánum,page 577, Dúna
mystic,dulspekingur,page 589, Dúna
monster,óvættur,page 589, Dúna
artful,slægur,page 589, Dúna
magnanimous,drenglyndur,page 589, Dúna
merciless,óvæginn,page 589, Dúna
be visible,sjást,page 589, Dúna
plunder,gripdeildir,page 589, Dúna
smithereens,mask,page 589, Dúna
entourage,föruneyti,page 589, Dúna
scale,umfangi,page 37 Brian, Á ég að gæta systur minnar?
chimney,skorsteini,page 37 Brian, Á ég að gæta systur minnar?
cremation oven,líkbrennsluofnsins,page 37 Brian, Á ég að gæta systur minnar?
rub,nýr,page 37 Brian, Á ég að gæta systur minnar?
dripping with sweat,kófsveitta,page 37 Brian, Á ég að gæta systur minnar?
cause,olli,page 37 Brian, Á ég að gæta systur minnar?
dissection class,krufningarkúrsarnir,page 37 Brian, Á ég að gæta systur minnar?
run,láta,page 37 Brian, Á ég að gæta systur minnar?
body,skrokkinn,page 37 Brian, Á ég að gæta systur minnar?
mistake,feill,page 37 Brian, Á ég að gæta systur minnar?
pack,troða,page 139 Júlía,Á ég að gæta systur minnar?
cover,þekja,page 139 Júlía,Á ég að gæta systur minnar?
galaxy,stjörnuþokum,page 139 Júlía,Á ég að gæta systur minnar?
vacate,rýma,page 139 Júlía,Á ég að gæta systur minnar?
explore,grúska,page 139 Júlía,Á ég að gæta systur minnar?
patron saint,verndardýrlingi,page 139 Júlía,Á ég að gæta systur minnar?
bright,skær,page 139 Júlía,Á ég að gæta systur minnar?
find one's way,ratað,page 139 Júlía,Á ég að gæta systur minnar?
loo,klóið,page 139 Júlía,Á ég að gæta systur minnar?
nuclear fusion, kjarnasamruna,page 139 Júlía,Á ég að gæta systur minnar?
cut,skera,page 164 Anna, Á ég að gæta systur minnar?
wakefulness,andvökur,,page 164 Anna, Á ég að gæta systur minnar?
imagine,hugarlund,page 164 Anna, Á ég að gæta systur minnar?
resolutely,statt og stöðugt,page 164 Anna, Á ég að gæta systur minnar?
appear as a ghost,gengin aftur,page 164 Anna, Á ég að gæta systur minnar?
haunt,ásækja,page 164 Anna, Á ég að gæta systur minnar?
occurance,tilfelli,page 164 Anna, Á ég að gæta systur minnar?
lead,blý,page 164 Anna, Á ég að gæta systur minnar?
pipe dream,loftkastalar,page 164 Anna, Á ég að gæta systur minnar?
enticing,lokkandi,page 164 Anna, Á ég að gæta systur minnar?
simmer,malla,page 178 Brian, Á ég að gæta systur minnar?
scatter,dreift,page 178 Brian, Á ég að gæta systur minnar?
aggravation,leiðindi,page 178 Brian, Á ég að gæta systur minnar?
cooking,eldamennskuna,page 178 Brian, Á ég að gæta systur minnar?
blast,spýta,page 178 Brian, Á ég að gæta systur minnar?
turn off,slökkva,page 178 Brian, Á ég að gæta systur minnar?
noose,hengingaról,page 178 Brian, Á ég að gæta systur minnar?
bedside,rúmstokkinn,page 178 Brian, Á ég að gæta systur minnar?
Old Maid,Svartapétur,page 178 Brian, Á ég að gæta systur minnar?
plait,flétti,page 178 Brian, Á ég að gæta systur minnar?
hope,vonin,page 201 Brian, Á ég að gæta systur minnar?
narrative,frásögnum,page 201 Brian, Á ég að gæta systur minnar?
Zeus,Seifur,page 201 Brian, Á ég að gæta systur minnar?
distribute,útdeildi,page 201 Brian, Á ég að gæta systur minnar?
energy,snerpa,page 201 Brian, Á ég að gæta systur minnar?
characteristic,eiginleikunum,page 201 Brian, Á ég að gæta systur minnar?
sufficient,nægja,page 201 Brian, Á ég að gæta systur minnar?
bad mood,fýla,page 201 Brian, Á ég að gæta systur minnar?
shiver,skjálfa,page 201 Brian, Á ég að gæta systur minnar?
light,tendraði,page 201 Brian, Á ég að gæta systur minnar?
streaming,flóandi,page 235 Brian, Á ég að gæta systur minnar?
fiddle,fitlar,page 235 Brian, Á ég að gæta systur minnar?
uninhabitable,óíbúðarhæft,page 235 Brian, Á ég að gæta systur minnar?
refuge,neyðarskýli,page 235 Brian, Á ég að gæta systur minnar?
in a row,í spottum,page 235 Brian, Á ég að gæta systur minnar?
expect,búast,page 235 Brian, Á ég að gæta systur minnar?
frightful,skelfilegt,page 235 Brian, Á ég að gæta systur minnar?
stuffed,uppstoppaðan,page 235 Brian, Á ég að gæta systur minnar?
morphine drip,morfíngjöf,page 235 Brian, Á ég að gæta systur minnar?
blood vessel,æð,page 235 Brian, Á ég að gæta systur minnar?
mow,slá,page 238 Sara 2001, Á ég að gæta systur minnar?
lawn,flötina,page 238 Sara 2001, Á ég að gæta systur minnar?
rub,nugga,page 238 Sara 2001, Á ég að gæta systur minnar?
sneakers,strigaskónum,page 238 Sara 2001, Á ég að gæta systur minnar?
rush,rjúka,page 238 Sara 2001, Á ég að gæta systur minnar?
support,styðja,page 238 Sara 2001, Á ég að gæta systur minnar?
throw away,fleygjum,page 238 Sara 2001, Á ég að gæta systur minnar?
downcast,mæðulega,page 238 Sara 2001, Á ég að gæta systur minnar?
goalie protective equipment,markmannshlífar,page 238 Sara 2001, Á ég að gæta systur minnar?
gear,græjur,page 238 Sara 2001, Á ég að gæta systur minnar?
hush,sussar,page 252 Júlía, Á ég að gæta systur minnar?
cushion,púði,page 252 Júlía, Á ég að gæta systur minnar?
gay,hommarnir,page 252 Júlía, Á ég að gæta systur minnar?
judicial trial,réttarhaldið,page 252 Júlía, Á ég að gæta systur minnar?
conclusion,ályktunin,page 252 Júlía, Á ég að gæta systur minnar?
ruin,rústa,page 252 Júlía, Á ég að gæta systur minnar?
faint,í yfirlið,page 252 Júlía, Á ég að gæta systur minnar?
generally,yfirhöfuð,page 252 Júlía, Á ég að gæta systur minnar?
area of interest,áhugasvið,page 252 Júlía, Á ég að gæta systur minnar?
hereditary,ættgengt,page 252 Júlía, Á ég að gæta systur minnar?
cabin,káetunni,page 261 Campbell,Á ég að gæta systur minnar?
sail boat,skúta,page 261 Campbell,Á ég að gæta systur minnar?
rope,festar,page 261 Campbell,Á ég að gæta systur minnar?
narrow,þröngur,page 261 Campbell,Á ég að gæta systur minnar?
snore,hrjóta,page 261 Campbell,Á ég að gæta systur minnar?
slightly,ofurlítill,page 261 Campbell,Á ég að gæta systur minnar?
incisor,framtönnin,page 261 Campbell,Á ég að gæta systur minnar?
skewed,skakkur,page 261 Campbell,Á ég að gæta systur minnar?
lace,blúnduna,page 261 Campbell,Á ég að gæta systur minnar?
arrowhead,örvaroddur,page 261 Campbell,Á ég að gæta systur minnar?
reverse,öfugt,page 271 Anna,Á ég að gæta systur minnar?
lose,glatar,page 271 Anna,Á ég að gæta systur minnar?
chat,kjaftaðu,page 271 Anna,Á ég að gæta systur minnar?
hole,holunni,page 271 Anna,Á ég að gæta systur minnar?
medicine,meðalið,page 271 Anna,Á ég að gæta systur minnar?
wide open,galopinn,page 271 Anna,Á ég að gæta systur minnar?
place,kima,page 271 Anna,Á ég að gæta systur minnar?
worldly existence,jarðlífinu,page 271 Anna,Á ég að gæta systur minnar?
uninhibited,óheft,page 271 Anna,Á ég að gæta systur minnar?
performance,frammistöðu,page 271 Anna,Á ég að gæta systur minnar?
singe,svíða,page 292 Jesse, Á ég að gæta systur minnar?
dope,dópa,page 292 Jesse, Á ég að gæta systur minnar?
torment,kvelja,page 292 Jesse, Á ég að gæta systur minnar?
ewe,rollurnar,page 292 Jesse, Á ég að gæta systur minnar?
mild,vægur,page 292 Jesse, Á ég að gæta systur minnar?
fodder,föðrið,page 292 Jesse, Á ég að gæta systur minnar?
furry,loðinn,page 292 Jesse, Á ég að gæta systur minnar?
capelin,loðnu,page 292 Jesse, Á ég að gæta systur minnar?
darling,krúttin,page 292 Jesse, Á ég að gæta systur minnar?
bleat,jarma,page 292 Jesse, Á ég að gæta systur minnar?
filch,hnupla,page 292 Jesse, Á ég að gæta systur minnar?
beaker,glerílát,page 295 Brian, Á ég að gæta systur minnar?
potassium chloride,kalíumklóríð,page 295 Brian, Á ég að gæta systur minnar?
hydrometer,flotmælir,page 295 Brian, Á ég að gæta systur minnar?
bleach,bleikiklór,page 295 Brian, Á ég að gæta systur minnar?
bleach solution,bleikiklórupplausnina,page 295 Brian, Á ég að gæta systur minnar?
dash,geysast,page 295 Brian, Á ég að gæta systur minnar?
check,gá,page 295 Brian, Á ég að gæta systur minnar?
beeper,símboðinn,page 295 Brian, Á ég að gæta systur minnar?
whistle,pípa,page 295 Brian, Á ég að gæta systur minnar?
outer space, geiminn, page 340 Brian, Á ég að gæta systur minnar?
fits, stemma,page 340 Brian, Á ég að gæta systur minnar?
the Greeks, Grikkirnir,page 340 Brian, Á ég að gæta systur minnar?
native, frumbyggjarnir,page 340 Brian, Á ég að gæta systur minnar?
hide, felum,page 340 Brian, Á ég að gæta systur minnar?
Crux, Suðurkrossinum,page 340 Brian, Á ég að gæta systur minnar?
patch, blettunum,page 340 Brian, Á ég að gæta systur minnar?
crash, skellur,page 340 Brian, Á ég að gæta systur minnar?
epileptic fit, flogakasti,page 340 Brian, Á ég að gæta systur minnar?
blood circulation, blóðrásin,page 340 Brian, Á ég að gæta systur minnar?
shuffle,stokka,page 362 Sara, Á ég að gæta systur minnar?
more competent,kunnáttusamlegri,page 362 Sara, Á ég að gæta systur minnar?
nonsense,bullið,page 362 Sara, Á ég að gæta systur minnar?
tidy up,þríf,page 362 Sara, Á ég að gæta systur minnar?
always,ætíð,page 362 Sara, Á ég að gæta systur minnar?
private life,einkahögum,page 362 Sara, Á ég að gæta systur minnar?
understand,botna,page 362 Sara, Á ég að gæta systur minnar?
lose control,missa tökin,page 362 Sara, Á ég að gæta systur minnar?
busy,önnum kafin,page 362 Sara, Á ég að gæta systur minnar?
jump,stökkva,page 362 Sara, Á ég að gæta systur minnar?
gave,lét í té,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
ate,smjöttuðu,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
soundtrack,hljóðið,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
special effects,tæknibrellurnar,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
of course,vitaskuld,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
penthouse apartment,þakhýsi,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
unprompted,sisona,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
gold bars,gullstengur,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
bulldog,bolabítar,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
toes wriggled,iðuður tær,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
nimble,liðugur,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
double-jointed,tvennum liðamótum,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
high-rise,háhýsi,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
exploits,afrek,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
tempestuous,skapheitu,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
easy to locate,auðfundið,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
sombre,þungbúnu,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
chute,lyftustokkin,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
damp,deigan,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
pinholes,nálaraugu,Ellefti Kafli: Snykur að verki, Artemis Fowl - Samsærið
