tíðnisæti MÍNO	lemma	orðflokkur	fjöldi
38	einnig	a	51817
72	hluti	n	31161
73	áhrif	n	30568
90	breyting	n	26336
94	mikilvægur	l	25669
105	einstaklingur	n	23374
111	starf	n	22130
120	síðan	a	20467
138	auka	s	18035
144	heldur	c	17425
146	meðferð	n	17124
160	sérstaklega	a	15721
164	heimild	n	15306
171	greina	s	14821
174	jafnvel	a	14383
177	tengja	s	14140
180	hugmynd	n	14053
182	bæta	s	13912
187	almennur	l	13801
191	hlutverk	n	13714
212	er	c	12407
215	þjóð	n	12216
219	aðili	n	12076
220	raun	n	11973
221	nýta	s	11937
225	tengsl	n	11840
229	svið	n	11743
230	mat	n	11714
231	tillaga	n	11699
232	hefja	s	11686
238	mæla	s	11477
243	jafnframt	a	11224
247	framkvæmd	n	10929
249	aðstæður	n	10809
254	nema	c	10629
257	samningur	n	10541
266	stundum	a	10254
270	kostur	n	10193
271	einkum	a	10163
276	eigin	l	10018
278	stjórn	n	9885
279	hversu	a	9877
282	þróun	n	9776
283	einkenni	n	9722
284	notkun	n	9685
289	gildi	n	9554
292	samræmi	n	9466
293	aðferð	n	9428
294	svæði	n	9407
300	tiltekinn	l	9265
305	upphaf	n	9180
311	hljóta	s	8855
319	árangur	n	8580
321	grundvöllur	n	8477
322	tilvik	n	8461
323	starfsemi	n	8447
328	erlendur	l	8344
329	skilyrði	n	8324
331	atriði	n	8297
333	þrátt	a	8256
334	einungis	a	8248
336	tilfelli	n	8210
337	ábyrgð	n	8187
351	mismunandi	l	7601
352	greining	n	7573
360	skilningur	n	7471
363	meðan	c	7364
374	samskipti	n	7141
375	virðulegur	l	7138
376	stefna	n	7136
391	mark	n	6807
395	samhengi	n	6723
401	þátttakandi	n	6589
402	yfirleitt	a	6574
406	merking	n	6490
410	skýr	l	6461
413	víða	a	6446
415	utan	a	6401
418	réttindi	n	6301
421	ofan	a	6273
423	tafla	n	6230
425	skilgreina	s	6218
426	jákvæður	l	6216
429	forsenda	n	6171
436	íbúi	n	5991
456	vandamál	n	5703
458	kjölfar	n	5691
459	rit	n	5691
460	félagslegur	l	5672
463	umfjöllun	n	5613
471	einfaldur	l	5484
472	né	c	5464
473	reyndar	a	5461
474	afar	a	5459
476	viðhorf	n	5400
477	menntun	n	5387
479	heild	n	5356
481	gæta	s	5304
483	móðir	n	5293
485	brot	n	5286
488	sjónarmið	n	5250
489	stofna	s	5236
494	semja	s	5202
497	sambærilegur	l	5140
503	leysa	s	5104
505	afleiðing	n	5103
512	mögulegur	l	5035
517	faðir	n	4971
523	hefðbundinn	l	4932
525	frásögn	n	4906
528	eingöngu	a	4888
533	sjálfsagður	l	4772
540	afstaða	n	4715
541	flókinn	l	4701
542	vandi	n	4686
547	athugasemd	n	4667
548	virkur	l	4661
550	menning	n	4640
555	þegar	a	4575
556	tíðni	n	4572
557	hagsmunir	n	4565
558	málefni	n	4555
559	grípa	s	4553
560	gjarnan	a	4548
563	vissulega	a	4515
565	þýðing	n	4492
566	styrkur	n	4489
573	fjölga	s	4417
574	styrkja	s	4413
578	hve	a	4387
581	átt	n	4369
585	hvetja	s	4309
586	eftirfarandi	l	4298
587	lesandi	n	4277
592	móta	s	4216
596	hvorki	c	4173
601	mikilvægi	n	4110
607	skilgreining	n	4087
608	persóna	n	4076
611	einfaldlega	a	4055
612	heiti	n	4051
614	áætlun	n	4045
615	safna	s	4036
616	tilskipun	n	4036
622	lýsing	n	4012
624	skráning	n	4009
628	erlendis	a	3980
630	sjálfstæður	l	3978
636	neikvæður	l	3924
639	framkvæma	s	3910
641	úrræði	n	3897
642	aðstoð	n	3882
645	hugsun	n	3840
651	gildandi	l	3774
654	uppbygging	n	3765
656	staðfesta	s	3752
657	samvinna	n	3750
659	verja	s	3750
661	viðbragð	n	3736
667	óska	s	3714
675	einkenna	s	3664
679	merkja	s	3650
686	fjölmiðill	n	3610
689	áhugaverður	l	3597
692	vettvangur	n	3575
693	tilefni	n	3573
694	öryggi	n	3568
695	innri	l	3565
700	orsök	n	3541
701	merki	n	3530
704	viðfangsefni	n	3479
707	grunnur	n	3456
708	raunverulegur	l	3456
710	uppruni	n	3447
711	verulega	a	3444
727	forn	l	3349
729	stúlka	n	3341
730	nákvæmlega	a	3338
732	vernd	n	3313
735	rita	s	3303
736	hæð	n	3301
741	staðreynd	n	3275
745	tilheyra	s	3244
752	aðallega	a	3183
754	rúmlega	a	3181
755	öflugur	l	3176
757	ályktun	n	3161
758	skyldur	l	3157
764	mæling	n	3133
767	hugsanlega	a	3107
777	viðbót	n	3066
778	raunar	a	3065
780	yfirborð	n	3060
782	breyttur	l	3055
784	háður	l	3052
785	daglegur	l	3034
787	frjáls	l	3022
789	skipulag	n	3017
790	heilsa	n	3016
791	fyrirbæri	n	3015
794	leiðbeining	n	3006
795	endurspegla	s	3002
797	samþykki	n	2993
800	gæði	n	2988
802	áhætta	n	2976
805	ráðstöfun	n	2964
811	eiginleiki	n	2948
814	rót	n	2945
821	ferli	n	2903
833	rafrænn	l	2853
837	magn	n	2834
840	skortur	n	2823
841	viðmið	n	2820
844	takmörkun	n	2800
850	sennilega	a	2770
851	skipti	n	2769
853	frelsi	n	2767
856	flokka	s	2754
857	tækni	n	2751
858	skáld	n	2749
861	undan	a	2738
863	líkamlegur	l	2731
864	viðmælandi	n	2728
866	túlka	s	2725
868	takmarka	s	2722
870	hérlendis	a	2719
872	fjölbreyttur	l	2714
875	upplifa	s	2704
876	veruleiki	n	2703
880	samkomulag	n	2699
882	meðal	a	2695
883	takmarkaður	l	2690
886	framleiðsla	n	2684
891	öðlast	s	2671
892	stjórna	s	2664
901	ytri	l	2640
903	hegðun	n	2638
904	innihalda	s	2638
906	hefð	n	2635
907	framhald	n	2631
911	eining	n	2619
916	hækkun	n	2607
918	sömuleiðis	a	2603
921	þaðan	a	2598
922	sögulegur	l	2591
924	kynslóð	n	2586
928	álag	n	2578
929	margvíslegur	l	2577
931	útskýra	s	2567
932	aðgengi	n	2564
934	vísindi	n	2557
936	lengd	n	2550
939	vísbending	n	2542
942	gagnrýni	n	2540
945	aldraður	l	2538
949	huga	s	2531
955	ábending	n	2500
956	vaxandi	l	2494
957	áberandi	l	2492
958	augljós	l	2491
963	skuldbinding	n	2478
969	væntanlega	a	2465
973	manneskja	n	2453
974	nýlegur	l	2449
975	meirihluti	n	2442
976	byrjun	n	2435
977	fagna	s	2433
979	sýn	n	2431
980	fræðsla	n	2429
982	námskeið	n	2424
985	orðalag	n	2413
986	heili	n	2411
989	ýmist	c	2409
990	innleiða	s	2408
991	atvik	n	2406
992	hafna	s	2406
995	varpa	s	2403
996	tengdur	l	2402
1000	nálgast	s	2395
1003	áðan	a	2388
1004	áhættuþáttur	n	2388
1006	tiltölulega	a	2388
1008	stafa	s	2386
1010	faglegur	l	2381
1011	festa	s	2379
1012	búseta	n	2378
1014	innleiðing	n	2373
1016	varðveita	s	2361
1017	starfshópur	n	2360
1019	fyrirmynd	n	2357
1024	vega	s	2342
1025	list	n	2339
1026	ætt	n	2334
1027	handrit	n	2324
1033	dreifa	s	2303
1037	hliðsjón	n	2300
1041	skrif	n	2293
1042	smár	l	2289
1044	varla	a	2284
1046	viðeigandi	l	2283
1048	yfirvald	n	2276
1049	virkni	n	2274
1050	svolítið	a	2273
1052	tæplega	a	2272
1055	aðgengilegur	l	2261
1057	nútími	n	2253
1059	frægur	l	2243
1062	sameina	s	2228
1065	nákvæmur	l	2224
1067	viðhalda	s	2222
1068	snemma	a	2220
1070	drengur	n	2216
1073	stöðugur	l	2205
1074	kjarni	n	2203
1075	meginregla	n	2203
1077	sannarlega	a	2201
1078	líkja	s	2199
1080	persónulegur	l	2196
1081	ítarlegur	l	2195
1082	ávallt	a	2192
1083	nýting	n	2189
1084	skil	n	2189
1089	gríðarlega	a	2173
1093	fatlaður	l	2163
1094	ungmenni	n	2162
1096	áhorfandi	n	2157
1099	megin	a	2150
1100	sífellt	a	2150
1102	sjaldgæfur	l	2144
1104	rými	n	2138
1105	virka	s	2138
1107	nálgun	n	2127
1110	foreldri	n	2119
1111	málaflokkur	n	2116
1112	talsverður	l	2113
1113	reisa	s	2110
1114	víðtækur	l	2110
1115	skýrt	a	2109
1116	húsnæði	n	2105
1117	framangreindur	l	2102
1118	vinnsla	n	2102
1121	samanbera	s	2094
1122	tímarit	n	2093
1123	nýlega	a	2092
1124	sérhæfður	l	2092
1126	stofn	n	2087
1131	lesefni	n	2077
1133	æðri	l	2075
1136	nýsköpun	n	2072
1138	djúpur	l	2067
1141	óvissa	n	2058
1144	heimilislæknir	n	2053
1145	gagnrýna	s	2052
1147	hraði	n	2051
1150	jafnaður	n	2046
1152	neysla	n	2040
1153	töluverður	l	2040
1154	neðan	a	2037
1158	vitna	s	2028
1159	faraldur	n	2023
1160	líkur	l	2022
1162	jafnan	a	2019
1163	eiginlega	a	2016
1164	lifandi	l	2009
1165	útbreiðsla	n	2009
1168	þjóna	s	1999
1169	svonefndur	l	1998
1172	miðla	s	1988
1174	beinlínis	a	1980
1177	vernda	s	1979
1180	skyn	n	1977
1182	athyglisverður	l	1974
1183	ferill	n	1974
1185	formlegur	l	1967
1190	langvinnur	l	1962
1193	endurskoða	s	1951
1195	kleifur	l	1948
1196	eigi	a	1946
1197	upphaflega	a	1946
1200	viðkvæmur	l	1944
1202	traust	n	1940
1203	nauðsyn	n	1938
1204	tilgreina	s	1934
1207	talsvert	a	1929
1209	þjálfun	n	1925
1213	smám	a	1917
1215	vinnustaður	n	1911
1217	tímabundinn	l	1908
1218	frestur	n	1907
1220	mælikvarði	n	1905
1221	ævi	n	1905
1223	henta	s	1903
1226	líðan	n	1900
1227	samfélagslegur	l	1899
1231	fjárhæð	n	1895
1232	fæða	n	1893
1234	óljós	l	1887
1237	fall	n	1882
1239	heimila	s	1874
1240	hvergi	a	1871
1244	bráður	l	1863
1248	fljótt	a	1859
1250	mannlegur	l	1854
1253	brott	a	1848
1254	frammi	a	1848
1255	algengi	n	1846
1257	nægilega	a	1838
1258	hyggja	s	1836
1263	skorta	s	1820
1265	tákn	n	1817
1266	notandi	n	1812
1270	þága	n	1807
1271	skrá	n	1806
1272	rísa	s	1805
1273	þvert	a	1801
1276	svigrúm	n	1796
1277	greinilega	a	1795
1278	forða	s	1794
1280	milli	a	1791
1281	sjálfstæði	n	1791
1284	inngangur	n	1786
1285	laga	s	1785
1288	umsækjandi	n	1782
1289	stöðugt	a	1779
1290	fræði	n	1775
1293	galli	n	1772
1296	ávinningur	n	1771
1298	þrýstingur	n	1771
1299	bættur	l	1769
1300	losun	n	1769
1303	sæta	s	1766
1306	nefnilega	a	1753
1308	refsing	n	1751
1309	útfærsla	n	1751
1311	víður	l	1744
1312	venjulega	a	1740
1313	hljóð	n	1739
1314	fjarlægja	s	1735
1315	fjarlægð	n	1734
1316	æskilegur	l	1734
1319	fylla	s	1729
1322	andsvar	n	1726
1325	umfang	n	1724
1326	afmarkaður	l	1723
1327	meðhöndla	s	1722
1331	meðganga	n	1720
1333	dreifing	n	1717
1335	fullyrða	s	1715
1337	geta	n	1711
1338	áfall	n	1710
1340	vörn	n	1705
1343	erfiðleiki	n	1700
1346	hæfni	n	1695
1349	fjölgun	n	1690
1350	umtalsverður	l	1690
1353	auðvelda	s	1685
1355	ríkjandi	l	1682
1358	töluvert	a	1672
1363	fljótlega	a	1663
1365	upplifun	n	1660
1366	fyrrnefndur	l	1659
1367	landsbyggð	n	1659
1369	losna	s	1656
1372	skipuleggja	s	1652
1378	merkilegur	l	1643
1380	álíta	s	1638
1381	algjörlega	a	1634
1385	braut	n	1628
1386	skynsamlegur	l	1628
1388	senn	a	1627
1390	skráður	l	1624
1394	annaðhvort	c	1609
1396	menningarlegur	l	1608
1397	efniviður	n	1607
1399	fortíð	n	1606
1405	forvörn	n	1596
1407	hljóða	s	1596
1410	aldamót	n	1592
1413	mannréttindi	n	1588
1415	forysta	n	1586
1419	gagnlegur	l	1580
1420	frumkvæði	n	1577
1421	samræma	s	1576
1422	útlit	n	1576
1423	vafi	n	1576
1424	samtími	n	1575
1427	áskorun	n	1568
1428	reglulega	a	1567
1430	mögulega	a	1563
1431	samgöngur	n	1563
1432	blanda	s	1561
1434	lífsgæði	n	1560
1435	skap	n	1560
1437	árlega	a	1553
1440	skammtur	n	1551
1441	skjal	n	1551
1442	siður	n	1549
1443	lækning	n	1548
1444	kjósandi	n	1547
1445	viðauki	n	1547
1446	framboð	n	1546
1447	ráðgjöf	n	1546
1448	samspil	n	1545
1450	sjónarhorn	n	1544
1451	undantekning	n	1544
1452	rammi	n	1543
1453	neðri	l	1542
1454	síða	n	1540
1455	blasa	s	1539
1456	seint	a	1539
1457	framför	n	1538
1458	glíma	s	1537
1459	þroski	n	1536
1461	vonandi	a	1533
1463	heilbrigður	l	1530
1464	algerlega	a	1527
1465	árétta	s	1526
1466	breytilegur	l	1526
1469	samtals	a	1523
1470	fullkominn	l	1521
1471	skaði	n	1521
1472	sjaldan	a	1520
1473	myndun	n	1519
1475	verður	l	1518
1479	útiloka	s	1515
1480	álykta	s	1511
1483	tíðka	s	1510
1485	blæðing	n	1509
1491	markviss	l	1497
1492	þola	s	1497
1493	sólarhringur	n	1495
1494	fjármagna	s	1494
1495	sátt	n	1494
1502	skilaboð	n	1485
1505	skerðing	n	1482
1506	skipting	n	1481
1507	úttekt	n	1479
1508	hagkvæmur	l	1477
1510	eflaust	a	1473
1511	ótti	n	1473
1514	ákvarða	s	1469
1515	hátt	a	1467
1516	afhenda	s	1466
1517	ennfremur	a	1463
1518	verkur	n	1458
1526	rækta	s	1444
1531	minni	n	1439
1532	misjafn	l	1439
1533	aðkoma	n	1438
1535	samstaða	n	1438
1540	fyrirmæli	n	1431
1541	vægi	n	1430
1544	nægja	s	1426
1547	ætlun	n	1423
1548	endanlegur	l	1422
1550	umfangsmikill	l	1421
1554	afl	n	1416
1555	fullnægjandi	l	1416
1556	salur	n	1416
1558	fagur	l	1413
1559	viðurkenning	n	1413
1560	rifja	s	1412
1565	mismunun	n	1407
1566	endurtaka	s	1406
1567	líkindi	n	1406
1568	ítreka	s	1402
1569	birting	n	1399
1570	næstum	a	1399
1571	fátækur	l	1397
1572	ósk	n	1396
1573	æ	a	1396
1574	matvæli	n	1391
1575	örugglega	a	1391
1576	fyrirlestur	n	1390
1584	staðsetning	n	1387
1586	venja	n	1384
1588	staðfesting	n	1382
1589	sögumaður	n	1381
1590	útreikningur	n	1381
1591	upphaflegur	l	1377
1595	staddur	l	1371
1596	þyngd	n	1371
1597	tilvísun	n	1370
1598	hámark	n	1369
1599	útskrifa	s	1369
1601	óháður	l	1366
1604	jafnrétti	n	1365
1606	tak	n	1363
1608	slóð	n	1362
1611	aðstandandi	n	1358
1612	leiðarljós	n	1358
1613	iðulega	a	1357
1618	eiginlegur	l	1352
1621	aðskilnaður	n	1349
1622	ólíklegur	l	1349
1625	tenging	n	1347
1626	var	l	1347
1628	eftirspurn	n	1344
1630	tákna	s	1342
1634	meðvitaður	l	1338
1635	samdráttur	n	1338
1636	haga	s	1337
1637	færni	n	1335
1639	vænting	n	1333
1641	upprunalegur	l	1332
1642	togi	n	1331
1643	óþekktur	l	1328
1644	jafnvægi	n	1326
1646	varanlegur	l	1324
1650	nægur	l	1317
1651	undanþága	n	1317
1652	útlendingur	n	1317
1653	ofangreindur	l	1315
1655	kunnugur	l	1314
1663	grunur	n	1305
1664	þröngur	l	1304
1665	dálítið	a	1303
1666	yfirlit	n	1301
1668	tvisvar	a	1300
1670	framsetning	n	1298
1672	sýnilegur	l	1297
1673	straumur	n	1296
1675	sérstaða	n	1295
1676	upplýstur	l	1295
1680	orðræða	n	1287
1683	skynja	s	1286
1684	yrkja	s	1285
1685	framvegis	a	1284
1687	fær	l	1283
1688	samræða	n	1282
1689	vægur	l	1280
1691	vinnubrögð	n	1279
1692	andrúmsloft	n	1278
1694	virði	n	1277
1696	skerða	s	1276
1697	sértækur	l	1275
1699	hátta	s	1273
1701	ánægja	n	1272
1704	stoð	n	1271
1706	tilhneiging	n	1269
1708	vandaður	l	1267
1709	bragð	n	1266
1711	stafrænn	l	1265
1712	sess	n	1264
1713	losa	s	1263
1715	námsmaður	n	1257
1717	spretta	s	1252
1720	skáldskapur	n	1250
1721	taktur	n	1248
1722	aldurshópur	n	1246
1723	gegn	a	1243
1725	fremri	l	1242
1729	vökvi	n	1239
1732	árlegur	l	1233
1735	búnaður	n	1230
1741	augljóslega	a	1225
1742	mannvirki	n	1225
1743	gagnrýninn	l	1224
1744	tilkoma	n	1224
1746	skólastarf	n	1223
1750	strangur	l	1221
1751	tilvist	n	1220
1753	náttúrulegur	l	1218
1755	skertur	l	1215
1756	stíll	n	1214
1757	algjör	l	1213
1758	ágætlega	a	1213
1759	botn	n	1213
1763	áfangi	n	1211
1767	leiðrétta	s	1205
1768	tæknilegur	l	1205
1769	miðja	n	1204
1772	óeðlilegur	l	1201
1773	höfðingi	n	1200
1775	áform	n	1198
1777	burt	a	1194
1779	undirstrika	s	1190
1780	villtur	l	1190
1782	úrvinnsla	n	1189
1783	framfæri	n	1187
1784	átak	n	1186
1789	viðurkenndur	l	1177
1792	skipulagður	l	1174
1794	útkoma	n	1173
1796	starfandi	l	1171
1799	sérlega	a	1170
1800	vart	a	1170
1801	síðarnefndur	l	1168
1803	alvara	n	1167
1804	reglulegur	l	1167
1805	skilvirkur	l	1167
1806	flokkun	n	1166
1807	látinn	l	1165
1809	hreinlega	a	1163
1810	útfæra	s	1163
1812	veröld	n	1162
1815	hindra	s	1157
1816	ódýr	l	1157
1818	aka	s	1156
1820	óbeinn	l	1156
1823	langflestur	l	1154
1824	bylting	n	1152
1828	endurgreiðsla	n	1149
1829	vefsíða	n	1147
1833	efi	n	1143
1835	lofa	s	1141
1836	bakgrunnur	n	1140
1840	fyrrverandi	l	1138
1841	núgildandi	l	1137
1843	skipun	n	1134
1845	settur	l	1133
1850	rafmagn	n	1131
1851	landsvæði	n	1130
1852	viðhald	n	1129
1853	lengja	s	1127
1855	aðstoða	s	1125
1856	inntak	n	1124
1857	fresta	s	1123
1859	þarfnast	s	1119
1860	reynd	n	1118
1862	éta	s	1114
1863	landslag	n	1114
1864	róttækur	l	1114
1865	staðbundinn	l	1114
1867	öfugur	l	1113
1870	fólga	s	1110
1871	kynning	n	1110
1872	óheimill	l	1110
1873	samsettur	l	1109
1874	auglýsa	s	1108
1876	kort	n	1106
1878	veikja	s	1102
1879	skuggi	n	1100
1880	einstaka	l	1098
1882	dauðsfall	n	1097
1883	ella	a	1097
1884	hvati	n	1094
1885	hæfileiki	n	1094
1886	tíður	l	1094
1889	ennþá	a	1092
1890	áðurnefndur	l	1090
1891	úrlausn	n	1089
1892	hamingja	n	1087
1893	háttsemi	n	1085
1894	afbrigði	n	1084
1896	velferð	n	1083
1899	nær	a	1082
1900	endurtekinn	l	1081
1901	nægilegur	l	1081
1902	réttlæti	n	1081
1903	sambúð	n	1079
1904	samsetning	n	1079
1905	sjálfstætt	a	1079
1906	andstaða	n	1077
1909	hindrun	n	1076
1911	gripur	n	1074
1912	tónn	n	1074
